




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (3008)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
glial cell differentiation (GO:0010001)	173	49	25.27	+	1.94	1.03E-04	2.21E-03
mitochondrial translational termination (GO:0070126)	89	1	13.00	-	.08	1.03E-04	2.20E-03
positive regulation of protein metabolic process (GO:0051247)	1562	291	228.14	+	1.28	1.02E-04	2.19E-03
regulation of gliogenesis (GO:0014013)	98	33	14.31	+	2.31	1.01E-04	2.18E-03
heart valve morphogenesis (GO:0003179)	55	23	8.03	+	2.86	9.63E-05	2.07E-03
mRNA transport (GO:0051028)	160	6	23.37	-	.26	9.21E-05	1.99E-03
calcium ion transmembrane transport (GO:0070588)	190	53	27.75	+	1.91	9.14E-05	1.98E-03
second-messenger-mediated signaling (GO:0019932)	221	59	32.28	+	1.83	9.15E-05	1.98E-03
negative regulation of neurogenesis (GO:0050768)	143	43	20.89	+	2.06	8.98E-05	1.95E-03
male sex differentiation (GO:0046661)	161	47	23.51	+	2.00	8.98E-05	1.95E-03
regulation of neuron apoptotic process (GO:0043523)	210	57	30.67	+	1.86	8.98E-05	1.94E-03
mesodermal cell differentiation (GO:0048333)	26	15	3.80	+	3.95	8.90E-05	1.93E-03
hormone transport (GO:0009914)	83	30	12.12	+	2.47	8.81E-05	1.92E-03
muscle system process (GO:0003012)	288	72	42.06	+	1.71	8.70E-05	1.90E-03
protein-containing complex disassembly (GO:0032984)	228	12	33.30	-	.36	8.64E-05	1.89E-03
endocardial cushion development (GO:0003197)	44	20	6.43	+	3.11	8.64E-05	1.89E-03
hindbrain development (GO:0030902)	151	45	22.05	+	2.04	8.54E-05	1.87E-03
respiratory tube development (GO:0030323)	177	50	25.85	+	1.93	8.50E-05	1.86E-03
negative regulation of secretion by cell (GO:1903531)	142	43	20.74	+	2.07	8.41E-05	1.85E-03
positive regulation of synapse assembly (GO:0051965)	59	24	8.62	+	2.79	8.42E-05	1.85E-03
positive regulation of peptide secretion (GO:0002793)	110	36	16.07	+	2.24	8.39E-05	1.85E-03
mammary gland epithelium development (GO:0061180)	59	24	8.62	+	2.79	8.42E-05	1.85E-03
protein targeting (GO:0006605)	322	21	47.03	-	.45	8.05E-05	1.78E-03
sodium ion transport (GO:0006814)	176	50	25.71	+	1.95	7.91E-05	1.75E-03
proteasomal protein catabolic process (GO:0010498)	361	25	52.73	-	.47	7.85E-05	1.74E-03
aorta development (GO:0035904)	53	23	7.74	+	2.97	7.74E-05	1.72E-03
regulation of bone remodeling (GO:0046850)	53	23	7.74	+	2.97	7.74E-05	1.72E-03
regulation of dopamine secretion (GO:0014059)	36	18	5.26	+	3.42	7.54E-05	1.68E-03
mesenchymal to epithelial transition (GO:0060231)	16	12	2.34	+	5.14	7.55E-05	1.68E-03
ensheathment of neurons (GO:0007272)	108	36	15.77	+	2.28	7.28E-05	1.63E-03
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	492	39	71.86	-	.54	7.30E-05	1.63E-03
axon ensheathment (GO:0008366)	108	36	15.77	+	2.28	7.28E-05	1.63E-03
developmental maturation (GO:0021700)	235	62	34.32	+	1.81	7.28E-05	1.63E-03
regulation of body fluid levels (GO:0050878)	494	111	72.15	+	1.54	7.18E-05	1.61E-03
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	93	1	13.58	-	.07	6.92E-05	1.56E-03
ATP synthesis coupled electron transport (GO:0042773)	93	1	13.58	-	.07	6.92E-05	1.55E-03
gland morphogenesis (GO:0022612)	100	34	14.61	+	2.33	6.89E-05	1.55E-03
amide biosynthetic process (GO:0043604)	537	44	78.43	-	.56	6.85E-05	1.55E-03
regulation of intracellular signal transduction (GO:1902531)	1839	338	268.59	+	1.26	6.76E-05	1.53E-03
aortic valve morphogenesis (GO:0003180)	32	17	4.67	+	3.64	6.70E-05	1.52E-03
regulation of cell junction assembly (GO:1901888)	202	56	29.50	+	1.90	6.70E-05	1.52E-03
epithelial cell development (GO:0002064)	202	56	29.50	+	1.90	6.70E-05	1.52E-03
lung development (GO:0030324)	173	50	25.27	+	1.98	6.71E-05	1.52E-03
somitogenesis (GO:0001756)	62	25	9.06	+	2.76	6.47E-05	1.47E-03
establishment of protein localization to organelle (GO:0072594)	394	28	57.55	-	.49	6.25E-05	1.42E-03
reproductive process (GO:0022414)	1459	276	213.09	+	1.30	6.20E-05	1.41E-03
regulation of muscle system process (GO:0090257)	231	62	33.74	+	1.84	6.18E-05	1.41E-03
response to abiotic stimulus (GO:0009628)	1175	229	171.61	+	1.33	6.11E-05	1.40E-03
protein transport (GO:0015031)	1300	135	189.87	-	.71	6.08E-05	1.39E-03
sinoatrial node development (GO:0003163)	10	10	1.46	+	6.85	6.08E-05	1.39E-03
muscle contraction (GO:0006936)	241	64	35.20	+	1.82	5.99E-05	1.38E-03
proteoglycan metabolic process (GO:0006029)	85	31	12.41	+	2.50	5.94E-05	1.37E-03
placenta development (GO:0001890)	144	44	21.03	+	2.09	5.95E-05	1.37E-03
cardiac conduction (GO:0061337)	85	31	12.41	+	2.50	5.94E-05	1.37E-03
immune response-regulating signaling pathway (GO:0002764)	495	39	72.30	-	.54	5.82E-05	1.34E-03
regulation of cardiocyte differentiation (GO:1905207)	28	16	4.09	+	3.91	5.68E-05	1.32E-03
cellular respiration (GO:0045333)	187	8	27.31	-	.29	5.65E-05	1.31E-03
retina morphogenesis in camera-type eye (GO:0060042)	61	25	8.91	+	2.81	5.47E-05	1.27E-03
regulation of behavior (GO:0050795)	72	28	10.52	+	2.66	5.42E-05	1.26E-03
translational elongation (GO:0006414)	127	3	18.55	-	.16	5.25E-05	1.22E-03
humoral immune response (GO:0006959)	386	27	56.38	-	.48	5.23E-05	1.22E-03
import into cell (GO:0098657)	176	51	25.71	+	1.98	5.07E-05	1.18E-03
organelle assembly (GO:0070925)	796	73	116.26	-	.63	5.02E-05	1.17E-03
organonitrogen compound metabolic process (GO:1901564)	5246	664	766.20	-	.87	4.99E-05	1.17E-03
cellular component biogenesis (GO:0044085)	2754	323	402.24	-	.80	4.87E-05	1.14E-03
metanephric nephron morphogenesis (GO:0072273)	21	14	3.07	+	4.56	4.85E-05	1.14E-03
translational termination (GO:0006415)	97	1	14.17	-	.07	4.75E-05	1.12E-03
protein-DNA complex assembly (GO:0065004)	256	14	37.39	-	.37	4.69E-05	1.10E-03
development of primary sexual characteristics (GO:0045137)	221	60	32.28	+	1.86	4.58E-05	1.08E-03
reproduction (GO:0000003)	1462	278	213.53	+	1.30	4.56E-05	1.08E-03
positive regulation of immune response (GO:0050778)	747	67	109.10	-	.61	4.53E-05	1.07E-03
smooth muscle contraction (GO:0006939)	49	22	7.16	+	3.07	4.51E-05	1.07E-03
double-strand break repair (GO:0006302)	204	9	29.80	-	.30	4.49E-05	1.07E-03
cellular response to organic cyclic compound (GO:0071407)	511	115	74.63	+	1.54	4.43E-05	1.05E-03
ameboidal-type cell migration (GO:0001667)	181	52	26.44	+	1.97	4.37E-05	1.04E-03
protein modification by small protein conjugation (GO:0032446)	822	76	120.06	-	.63	4.32E-05	1.03E-03
cell differentiation involved in kidney development (GO:0061005)	45	21	6.57	+	3.20	4.30E-05	1.03E-03
regulation of BMP signaling pathway (GO:0030510)	101	35	14.75	+	2.37	4.28E-05	1.02E-03
epithelial cell differentiation involved in kidney development (GO:0035850)	34	18	4.97	+	3.62	4.27E-05	1.02E-03
positive regulation of cellular protein metabolic process (GO:0032270)	1474	280	215.28	+	1.30	4.18E-05	1.00E-03
organonitrogen compound catabolic process (GO:1901565)	1091	108	159.35	-	.68	4.16E-05	9.99E-04
positive regulation of hormone secretion (GO:0046887)	137	43	20.01	+	2.15	4.02E-05	9.68E-04
activation of adenylate cyclase activity (GO:0007190)	41	20	5.99	+	3.34	4.01E-05	9.67E-04
roof of mouth development (GO:0060021)	87	32	12.71	+	2.52	4.00E-05	9.64E-04
sensory perception of pain (GO:0019233)	75	29	10.95	+	2.65	3.96E-05	9.56E-04
positive regulation of cell migration (GO:0030335)	520	117	75.95	+	1.54	3.94E-05	9.53E-04
chemical synaptic transmission, postsynaptic (GO:0099565)	68	27	9.93	+	2.72	3.92E-05	9.51E-04
neural retina development (GO:0003407)	68	27	9.93	+	2.72	3.92E-05	9.50E-04
viral transcription (GO:0019083)	116	2	16.94	-	.12	3.76E-05	9.14E-04
immune response-activating cell surface receptor signaling pathway (GO:0002429)	455	34	66.45	-	.51	3.68E-05	8.98E-04
immune response-activating signal transduction (GO:0002757)	455	34	66.45	-	.51	3.68E-05	8.96E-04
positive regulation of developmental growth (GO:0048639)	169	50	24.68	+	2.03	3.66E-05	8.95E-04
sodium ion transmembrane transport (GO:0035725)	119	39	17.38	+	2.24	3.63E-05	8.92E-04
embryonic limb morphogenesis (GO:0030326)	119	39	17.38	+	2.24	3.63E-05	8.90E-04
embryonic appendage morphogenesis (GO:0035113)	119	39	17.38	+	2.24	3.63E-05	8.89E-04
aortic valve development (GO:0003176)	37	19	5.40	+	3.52	3.63E-05	8.88E-04
keratinocyte differentiation (GO:0030216)	270	15	39.43	-	.38	3.44E-05	8.47E-04
keratinization (GO:0031424)	227	11	33.15	-	.33	3.43E-05	8.46E-04
peripheral nervous system development (GO:0007422)	79	30	11.54	+	2.60	3.34E-05	8.26E-04
electron transport chain (GO:0022900)	170	6	24.83	-	.24	3.33E-05	8.26E-04
somite development (GO:0061053)	79	30	11.54	+	2.60	3.34E-05	8.25E-04
regulation of odontogenesis (GO:0042481)	17	13	2.48	+	5.24	3.29E-05	8.16E-04
outflow tract morphogenesis (GO:0003151)	67	27	9.79	+	2.76	3.26E-05	8.11E-04
regulation of telomere maintenance (GO:0032204)	81	0	11.83	-	 < 0.01	3.08E-05	7.67E-04
cellular homeostasis (GO:0019725)	895	184	130.72	+	1.41	3.05E-05	7.60E-04
SMAD protein signal transduction (GO:0060395)	62	26	9.06	+	2.87	3.04E-05	7.59E-04
DNA-dependent DNA replication (GO:0006261)	195	8	28.48	-	.28	2.96E-05	7.42E-04
negative regulation of nervous system development (GO:0051961)	148	46	21.62	+	2.13	2.96E-05	7.41E-04
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	262	69	38.27	+	1.80	2.96E-05	7.41E-04
regulation of AMPA receptor activity (GO:2000311)	26	16	3.80	+	4.21	2.92E-05	7.33E-04
autonomic nervous system development (GO:0048483)	47	22	6.86	+	3.20	2.75E-05	6.93E-04
negative regulation of Wnt signaling pathway (GO:0030178)	219	61	31.99	+	1.91	2.75E-05	6.92E-04
cellular response to lipid (GO:0071396)	481	111	70.25	+	1.58	2.64E-05	6.67E-04
negative regulation of cell development (GO:0010721)	180	53	26.29	+	2.02	2.63E-05	6.64E-04
DNA replication (GO:0006260)	273	15	39.87	-	.38	2.57E-05	6.52E-04
branching involved in ureteric bud morphogenesis (GO:0001658)	43	21	6.28	+	3.34	2.56E-05	6.50E-04
protein-DNA complex subunit organization (GO:0071824)	296	17	43.23	-	.39	2.47E-05	6.28E-04
regulation of axonogenesis (GO:0050770)	161	49	23.51	+	2.08	2.43E-05	6.19E-04
regulation of Wnt signaling pathway (GO:0030111)	377	92	55.06	+	1.67	2.40E-05	6.12E-04
female sex differentiation (GO:0046660)	107	37	15.63	+	2.37	2.38E-05	6.08E-04
positive regulation of cation channel activity (GO:2001259)	76	30	11.10	+	2.70	2.38E-05	6.07E-04
regulation of pathway-restricted SMAD protein phosphorylation (GO:0060393)	60	26	8.76	+	2.97	2.35E-05	6.01E-04
viral gene expression (GO:0019080)	172	6	25.12	-	.24	2.34E-05	6.00E-04
heart valve development (GO:0003170)	65	27	9.49	+	2.84	2.31E-05	5.93E-04
calcium ion transport (GO:0006816)	244	66	35.64	+	1.85	2.27E-05	5.85E-04
hippocampus development (GO:0021766)	81	31	11.83	+	2.62	2.20E-05	5.69E-04
negative regulation of metabolic process (GO:0009892)	3095	544	452.04	+	1.20	2.17E-05	5.60E-04
cellular response to hormone stimulus (GO:0032870)	529	120	77.26	+	1.55	2.13E-05	5.52E-04
nuclear division (GO:0000280)	339	21	49.51	-	.42	2.10E-05	5.44E-04
regulation of calcium ion transport (GO:0051924)	252	68	36.81	+	1.85	2.03E-05	5.28E-04
negative regulation of response to external stimulus (GO:0032102)	559	126	81.64	+	1.54	2.01E-05	5.23E-04
ribonucleoprotein complex assembly (GO:0022618)	189	7	27.60	-	.25	2.00E-05	5.21E-04
regulation of metal ion transport (GO:0010959)	262	70	38.27	+	1.83	1.99E-05	5.19E-04
limb morphogenesis (GO:0035108)	141	45	20.59	+	2.19	1.96E-05	5.12E-04
appendage morphogenesis (GO:0035107)	141	45	20.59	+	2.19	1.96E-05	5.12E-04
protein deubiquitination (GO:0016579)	278	15	40.60	-	.37	1.93E-05	5.06E-04
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	301	17	43.96	-	.39	1.91E-05	5.00E-04
negative regulation of cellular component movement (GO:0051271)	293	76	42.79	+	1.78	1.89E-05	4.98E-04
regulation of angiogenesis (GO:0045765)	282	74	41.19	+	1.80	1.87E-05	4.93E-04
DNA recombination (GO:0006310)	225	10	32.86	-	.30	1.82E-05	4.81E-04
bone morphogenesis (GO:0060349)	97	35	14.17	+	2.47	1.81E-05	4.78E-04
negative regulation of macromolecule metabolic process (GO:0010605)	2880	511	420.64	+	1.21	1.80E-05	4.75E-04
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	198	57	28.92	+	1.97	1.78E-05	4.73E-04
mitotic cell cycle process (GO:1903047)	675	57	98.59	-	.58	1.76E-05	4.69E-04
metal ion transport (GO:0030001)	326	83	47.61	+	1.74	1.73E-05	4.60E-04
protein metabolic process (GO:0019538)	4203	514	613.87	-	.84	1.72E-05	4.59E-04
complement activation (GO:0006956)	177	6	25.85	-	.23	1.69E-05	4.52E-04
dopaminergic neuron differentiation (GO:0071542)	31	18	4.53	+	3.98	1.69E-05	4.51E-04
regulation of vesicle-mediated transport (GO:0060627)	530	121	77.41	+	1.56	1.64E-05	4.39E-04
columnar/cuboidal epithelial cell differentiation (GO:0002065)	78	31	11.39	+	2.72	1.58E-05	4.23E-04
regulation of vasculature development (GO:1901342)	286	75	41.77	+	1.80	1.53E-05	4.13E-04
macromolecule modification (GO:0043412)	3211	379	468.98	-	.81	1.53E-05	4.11E-04
central nervous system neuron development (GO:0021954)	88	33	12.85	+	2.57	1.51E-05	4.07E-04
mesoderm formation (GO:0001707)	67	28	9.79	+	2.86	1.50E-05	4.05E-04
regulation of transferase activity (GO:0051338)	1033	210	150.87	+	1.39	1.45E-05	3.92E-04
mRNA 3'-end processing (GO:0031124)	88	0	12.85	-	 < 0.01	1.40E-05	3.78E-04
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	165	5	24.10	-	.21	1.39E-05	3.77E-04
mesoderm development (GO:0007498)	121	41	17.67	+	2.32	1.38E-05	3.76E-04
tRNA metabolic process (GO:0006399)	190	7	27.75	-	.25	1.36E-05	3.71E-04
glutamate receptor signaling pathway (GO:0007215)	48	23	7.01	+	3.28	1.36E-05	3.71E-04
limb development (GO:0060173)	175	53	25.56	+	2.07	1.33E-05	3.64E-04
appendage development (GO:0048736)	175	53	25.56	+	2.07	1.33E-05	3.63E-04
metanephros morphogenesis (GO:0003338)	27	17	3.94	+	4.31	1.33E-05	3.63E-04
signal release (GO:0023061)	157	49	22.93	+	2.14	1.25E-05	3.45E-04
negative regulation of neuron death (GO:1901215)	209	60	30.53	+	1.97	1.24E-05	3.41E-04
positive regulation of transmembrane transport (GO:0034764)	238	66	34.76	+	1.90	1.23E-05	3.38E-04
bone development (GO:0060348)	189	56	27.60	+	2.03	1.13E-05	3.13E-04
regulation of epithelial cell differentiation (GO:0030856)	147	47	21.47	+	2.19	1.11E-05	3.07E-04
epithelial cell differentiation (GO:0030855)	686	150	100.19	+	1.50	1.11E-05	3.06E-04
chromosome segregation (GO:0007059)	286	15	41.77	-	.36	1.09E-05	3.04E-04
adult locomotory behavior (GO:0008344)	74	30	10.81	+	2.78	1.08E-05	3.01E-04
activation of immune response (GO:0002253)	530	40	77.41	-	.52	1.05E-05	2.92E-04
regulation of muscle contraction (GO:0006937)	161	50	23.51	+	2.13	1.04E-05	2.92E-04
negative regulation of neuron apoptotic process (GO:0043524)	146	47	21.32	+	2.20	1.02E-05	2.85E-04
response to metal ion (GO:0010038)	379	94	55.35	+	1.70	1.01E-05	2.82E-04
negative regulation of cell motility (GO:2000146)	285	76	41.63	+	1.83	1.01E-05	2.82E-04
regulation of morphogenesis of an epithelium (GO:1905330)	64	28	9.35	+	3.00	9.94E-06	2.80E-04
cellular response to retinoic acid (GO:0071300)	69	29	10.08	+	2.88	9.74E-06	2.75E-04
response to nitrogen compound (GO:1901698)	1101	223	160.81	+	1.39	9.78E-06	2.75E-04
mesoderm morphogenesis (GO:0048332)	69	29	10.08	+	2.88	9.74E-06	2.75E-04
regulation of ossification (GO:0030278)	115	40	16.80	+	2.38	9.23E-06	2.61E-04
multicellular organismal signaling (GO:0035637)	128	43	18.70	+	2.30	8.78E-06	2.49E-04
regulation of animal organ morphogenesis (GO:2000027)	183	55	26.73	+	2.06	8.75E-06	2.49E-04
response to inorganic substance (GO:0010035)	553	127	80.77	+	1.57	8.35E-06	2.38E-04
organelle fission (GO:0048285)	369	23	53.89	-	.43	8.35E-06	2.38E-04
translational initiation (GO:0006413)	143	3	20.89	-	.14	8.13E-06	2.32E-04
respiratory system development (GO:0060541)	200	59	29.21	+	2.02	8.06E-06	2.31E-04
negative regulation of cellular metabolic process (GO:0031324)	2613	472	381.64	+	1.24	8.07E-06	2.31E-04
metanephric nephron development (GO:0072210)	32	19	4.67	+	4.07	7.80E-06	2.24E-04
response to glucocorticoid (GO:0051384)	149	48	21.76	+	2.21	7.66E-06	2.21E-04
sensory perception of sound (GO:0007605)	156	50	22.78	+	2.19	7.29E-06	2.10E-04
positive regulation of cell motility (GO:2000147)	545	126	79.60	+	1.58	7.25E-06	2.10E-04
muscle tissue morphogenesis (GO:0060415)	67	29	9.79	+	2.96	7.26E-06	2.10E-04
positive regulation of cellular component movement (GO:0051272)	558	128	81.50	+	1.57	7.12E-06	2.07E-04
nerve development (GO:0021675)	76	31	11.10	+	2.79	7.04E-06	2.04E-04
ribonucleoprotein complex subunit organization (GO:0071826)	196	7	28.63	-	.24	6.89E-06	2.01E-04
response to alcohol (GO:0097305)	253	70	36.95	+	1.89	6.90E-06	2.01E-04
activation of protein kinase activity (GO:0032147)	328	85	47.91	+	1.77	6.74E-06	1.97E-04
regulation of neuron death (GO:1901214)	316	83	46.15	+	1.80	6.59E-06	1.93E-04
cardiac septum morphogenesis (GO:0060411)	66	29	9.64	+	3.01	6.47E-06	1.90E-04
regulation of synapse assembly (GO:0051963)	99	37	14.46	+	2.56	6.42E-06	1.89E-04
regulation of cartilage development (GO:0061035)	71	30	10.37	+	2.89	6.33E-06	1.86E-04
mitochondrial translation (GO:0032543)	112	1	16.36	-	.06	6.23E-06	1.84E-04
respiratory electron transport chain (GO:0022904)	112	1	16.36	-	.06	6.23E-06	1.84E-04
cardiac conduction system development (GO:0003161)	38	21	5.55	+	3.78	6.10E-06	1.81E-04
response to external stimulus (GO:0009605)	2525	459	368.79	+	1.24	6.00E-06	1.78E-04
negative regulation of cell migration (GO:0030336)	270	74	39.43	+	1.88	6.00E-06	1.78E-04
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	420	103	61.34	+	1.68	5.72E-06	1.70E-04
mesonephric tubule morphogenesis (GO:0072171)	52	25	7.59	+	3.29	5.58E-06	1.66E-04
associative learning (GO:0008306)	79	32	11.54	+	2.77	5.55E-06	1.66E-04
positive regulation of animal organ morphogenesis (GO:0110110)	31	19	4.53	+	4.20	5.55E-06	1.66E-04
collagen fibril organization (GO:0030199)	103	38	15.04	+	2.53	5.37E-06	1.62E-04
complement activation, classical pathway (GO:0006958)	161	4	23.51	-	.17	5.38E-06	1.61E-04
cardiac septum development (GO:0003279)	103	38	15.04	+	2.53	5.37E-06	1.61E-04
artery morphogenesis (GO:0048844)	63	28	9.20	+	3.04	5.11E-06	1.54E-04
negative regulation of secretion (GO:0051048)	165	52	24.10	+	2.16	5.05E-06	1.53E-04
mitotic cell cycle (GO:0000278)	750	63	109.54	-	.58	4.97E-06	1.50E-04
response to steroid hormone (GO:0048545)	285	77	41.63	+	1.85	4.95E-06	1.50E-04
cellular amide metabolic process (GO:0043603)	820	71	119.76	-	.59	4.83E-06	1.47E-04
mitochondrion organization (GO:0007005)	468	32	68.35	-	.47	4.80E-06	1.46E-04
mammary gland development (GO:0030879)	128	44	18.70	+	2.35	4.81E-06	1.46E-04
positive regulation of epithelial cell differentiation (GO:0030858)	55	26	8.03	+	3.24	4.63E-06	1.42E-04
ventral spinal cord development (GO:0021517)	44	23	6.43	+	3.58	4.54E-06	1.39E-04
pituitary gland development (GO:0021983)	44	23	6.43	+	3.58	4.54E-06	1.39E-04
protein modification by small protein removal (GO:0070646)	295	15	43.09	-	.35	4.36E-06	1.34E-04
positive regulation of ion transmembrane transport (GO:0034767)	187	57	27.31	+	2.09	4.34E-06	1.34E-04
mesenchyme morphogenesis (GO:0072132)	51	25	7.45	+	3.36	4.28E-06	1.32E-04
ureteric bud morphogenesis (GO:0060675)	51	25	7.45	+	3.36	4.28E-06	1.32E-04
positive regulation of cellular component organization (GO:0051130)	1161	236	169.57	+	1.39	4.17E-06	1.29E-04
axis specification (GO:0009798)	88	35	12.85	+	2.72	3.67E-06	1.14E-04
B cell mediated immunity (GO:0019724)	205	7	29.94	-	.23	3.60E-06	1.13E-04
intracellular protein transport (GO:0006886)	781	66	114.07	-	.58	3.61E-06	1.12E-04
response to organonitrogen compound (GO:0010243)	1014	211	148.10	+	1.42	3.61E-06	1.12E-04
regulation of MAPK cascade (GO:0043408)	707	157	103.26	+	1.52	3.43E-06	1.07E-04
regulation of protein modification process (GO:0031399)	1654	320	241.57	+	1.32	3.13E-06	9.81E-05
cell cycle process (GO:0022402)	957	86	139.77	-	.62	3.07E-06	9.64E-05
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	86	35	12.56	+	2.79	3.03E-06	9.53E-05
retina development in camera-type eye (GO:0060041)	148	49	21.62	+	2.27	2.88E-06	9.10E-05
dorsal spinal cord development (GO:0021516)	20	16	2.92	+	5.48	2.72E-06	8.60E-05
negative regulation of nitrogen compound metabolic process (GO:0051172)	2453	451	358.27	+	1.26	2.61E-06	8.27E-05
positive regulation of catalytic activity (GO:0043085)	1240	251	181.11	+	1.39	2.53E-06	8.04E-05
odontogenesis (GO:0042476)	120	43	17.53	+	2.45	2.50E-06	7.94E-05
regulation of smooth muscle contraction (GO:0006940)	60	28	8.76	+	3.20	2.46E-06	7.84E-05
positive regulation of locomotion (GO:0040017)	560	131	81.79	+	1.60	2.46E-06	7.83E-05
negative regulation of locomotion (GO:0040013)	317	85	46.30	+	1.84	2.34E-06	7.49E-05
muscle organ morphogenesis (GO:0048644)	74	32	10.81	+	2.96	2.29E-06	7.33E-05
regulation of apoptotic process (GO:0042981)	1493	294	218.06	+	1.35	2.23E-06	7.17E-05
response to corticosteroid (GO:0031960)	168	54	24.54	+	2.20	2.23E-06	7.17E-05
synapse assembly (GO:0007416)	99	38	14.46	+	2.63	2.21E-06	7.14E-05
positive regulation of cytosolic calcium ion concentration (GO:0007204)	283	78	41.33	+	1.89	2.20E-06	7.12E-05
intracellular signal transduction (GO:0035556)	1677	325	244.93	+	1.33	2.16E-06	7.00E-05
cellular response to BMP stimulus (GO:0071773)	94	37	13.73	+	2.69	2.08E-06	6.75E-05
response to BMP (GO:0071772)	94	37	13.73	+	2.69	2.08E-06	6.74E-05
cytoplasmic translation (GO:0002181)	122	1	17.82	-	.06	1.90E-06	6.18E-05
cardiac ventricle development (GO:0003231)	123	44	17.96	+	2.45	1.89E-06	6.16E-05
neuron fate specification (GO:0048665)	28	19	4.09	+	4.65	1.86E-06	6.10E-05
neuromuscular process (GO:0050905)	136	47	19.86	+	2.37	1.86E-06	6.10E-05
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	120	1	17.53	-	.06	1.84E-06	6.05E-05
muscle cell differentiation (GO:0042692)	247	71	36.08	+	1.97	1.72E-06	5.65E-05
cell junction assembly (GO:0034329)	276	77	40.31	+	1.91	1.70E-06	5.62E-05
regulation of cell growth (GO:0001558)	422	106	61.64	+	1.72	1.70E-06	5.62E-05
positive regulation of cation transmembrane transport (GO:1904064)	171	55	24.98	+	2.20	1.68E-06	5.58E-05
chromosome organization (GO:0051276)	1064	97	155.40	-	.62	1.60E-06	5.32E-05
macromolecule biosynthetic process (GO:0009059)	1680	172	245.37	-	.70	1.59E-06	5.30E-05
positive regulation of potassium ion transmembrane transport (GO:1901381)	62	29	9.06	+	3.20	1.58E-06	5.26E-05
mitochondrial respiratory chain complex assembly (GO:0033108)	101	0	14.75	-	 < 0.01	1.55E-06	5.19E-05
rRNA metabolic process (GO:0016072)	272	12	39.73	-	.30	1.55E-06	5.19E-05
cellular response to oxygen-containing compound (GO:1901701)	1075	224	157.01	+	1.43	1.54E-06	5.16E-05
regulation of protein kinase activity (GO:0045859)	802	176	117.14	+	1.50	1.48E-06	4.98E-05
sex differentiation (GO:0007548)	272	77	39.73	+	1.94	1.39E-06	4.67E-05
endocrine pancreas development (GO:0031018)	40	23	5.84	+	3.94	1.34E-06	4.53E-05
nervous system process (GO:0050877)	1416	283	206.81	+	1.37	1.27E-06	4.31E-05
negative regulation of growth (GO:0045926)	249	72	36.37	+	1.98	1.23E-06	4.17E-05
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	100	39	14.61	+	2.67	1.23E-06	4.17E-05
cellular cation homeostasis (GO:0030003)	642	148	93.77	+	1.58	1.21E-06	4.13E-05
cell fate determination (GO:0001709)	43	24	6.28	+	3.82	1.18E-06	4.04E-05
regulation of potassium ion transmembrane transport (GO:1901379)	106	41	15.48	+	2.65	1.18E-06	4.04E-05
pallium development (GO:0021543)	173	56	25.27	+	2.22	1.16E-06	3.99E-05
ossification (GO:0001503)	267	76	39.00	+	1.95	1.14E-06	3.91E-05
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	522	126	76.24	+	1.65	1.13E-06	3.88E-05
positive regulation of protein modification process (GO:0031401)	1079	226	157.59	+	1.43	1.05E-06	3.61E-05
immunoglobulin mediated immune response (GO:0016064)	201	6	29.36	-	.20	1.01E-06	3.48E-05
defense response to other organism (GO:0098542)	1038	93	151.60	-	.61	9.50E-07	3.29E-05
cell population proliferation (GO:0008283)	485	119	70.84	+	1.68	9.25E-07	3.22E-05
regulation of catecholamine secretion (GO:0050433)	56	28	8.18	+	3.42	8.59E-07	2.99E-05
multicellular organismal response to stress (GO:0033555)	67	31	9.79	+	3.17	8.37E-07	2.92E-05
cartilage development (GO:0051216)	153	52	22.35	+	2.33	8.13E-07	2.84E-05
positive regulation of secretion by cell (GO:1903532)	288	81	42.06	+	1.93	8.10E-07	2.84E-05
response to drug (GO:0042493)	394	102	57.55	+	1.77	7.94E-07	2.79E-05
regulation of blood pressure (GO:0008217)	188	60	27.46	+	2.19	7.05E-07	2.48E-05
stem cell differentiation (GO:0048863)	157	53	22.93	+	2.31	7.00E-07	2.47E-05
artery development (GO:0060840)	89	37	13.00	+	2.85	6.47E-07	2.29E-05
